,Rank,Year,Movie,WorldwideBox Office,DomesticBox Office,InternationalBox Office
469,474,2004,The Bourne Supremacy,311001124,176087450,134913674
470,475,2010,Little Fockers,310650574,148438600,162211974
471,476,2017,The Lego Batman Movie,310570560,175750384,134820176
472,477,2015,Maze Runner: The Scorch Trials,310566162,81697192,228868970
473,478,2016,The Conjuring 2: The Enfield Poltergeist,310201399,102470008,207731391
474,479,1999,Runaway Bride,310138178,152257509,157880669
475,480,2005,Chicken Little,310043823,135386665,174657158
476,481,1996,Ransom,308700000,136492681,172207319
477,482,2017,Qian Ren 3: Yan Zhi Da Zuo Zhan,307547824,837791,306710033
478,483,2006,The Pursuit of Happyness,307311093,162586036,144725057
479,484,2014,The Fault in Our Stars,307166834,124872350,182294484
480,485,2012,Rise of the Guardians,306900902,103412758,203488144
481,486,2002,Chicago,306770545,170687518,136083027
482,487,2009,The Blind Side,305705794,255959475,49746319
483,488,2017,Annabelle: Creation,305384865,102092201,203292664
484,489,2012,Wrath of the Titans,305270083,83670083,221600000
485,490,2016,Dangal,305149461,12391761,292757700
486,491,2020,Sonic The Hedgehog,304961681,146066470,158895211
487,492,2018,Skyscraper,304868961,68420120,236448841
488,493,2013,A Good Day to Die Hard,304249198,67349198,236900000
489,494,1996,101 Dalmatians,304200000,136189294,168010706
490,495,1998,Mulan,303500000,120620254,182879746
491,496,1997,Liar Liar,302710615,181410615,121300000
492,497,2009,G.I. Joe: The Rise of Cobra,302469017,150201498,152267519
493,498,2016,Passengers,302239672,100014699,202224973
494,499,1991,Hook,300854823,119654823,181200000
495,500,1985,Rambo: First Blood Part II,300400000,150415432,149984568
496,502,1978,Superman,300200000,134218018,165981982
497,503,2004,Van Helsing,300150546,120150546,180000000
498,504,2008,Horton Hears a Who,299477886,154529439,144948447
499,505,2010,Shutter Island,299461782,128012934,171448848
500,506,1997,My Best Friend's Wedding,298923419,126813153,172110266
501,507,1999,Stuart Little,298815224,140015224,158800000
502,508,2018,Oceanâs 8,297718711,140218711,157500000
503,509,1989,Look Who's Talking,297100000,140088813,157011187
504,510,2000,X-Men,296872367,157299717,139572650
505,511,2002,Austin Powers in Goldmember,296338663,213117789,83220874
506,512,2016,Miss Peregrineâs Home for Peculiar Ch…,295986876,87242834,208744042
507,513,2010,Resident Evil: Afterlife,295874190,60128566,235745624
508,514,1984,Ghostbusters,295211811,242212467,52999344
509,515,2015,The Divergent Series: Insurgent,295075882,130179072,164896810
510,516,2010,Sex and the City 2,294680778,95347692,199333086
511,517,1998,Doctor Dolittle,294156605,144156605,150000000
512,518,2009,G-Force,292817841,119436770,173381071
513,519,2018,Pacific Rim: Uprising,290930148,59874525,231055623
514,520,1999,The Green Mile,290701374,136801374,153900000
515,521,2010,Salt,290650494,118311368,172339126
516,522,2017,Ferdinand,289838913,84410380,205428533
517,523,2006,The Departed,289660619,132384315,157276304
518,524,2011,Bridesmaids,289632023,169211718,120420305
519,525,2007,Fantastic Four: Rise of the Silver Su…,289480691,131921738,157558953
520,526,1988,Coming to America,288800000,128152301,160647699
521,527,2000,What Lies Beneath,288693989,155464351,133229638
522,528,2013,Oblivion,287916633,89107235,198809398
523,529,2007,Bee Movie,287594577,126631277,160963300
524,530,2015,Pitch Perfect 2,287215196,184296230,102918966
525,531,2013,Turbo,286896578,83028130,203868448
526,532,2001,American Pie 2,286500000,145096820,141403180
527,533,1965,The Sound of Music,286214195,163214286,122999909
528,534,2013,Elysium,286192091,93050117,193141974
529,535,1998,Lethal Weapon 4,285400000,130444603,154955397
530,536,2005,Wedding Crashers,283218368,209218368,74000000
531,537,1994,Speed,283200000,121248145,161951855
532,538,2012,John Carter,282778100,73058679,209719421
533,539,1977,Saturday Night Fever,282400000,139486124,142913876
534,540,1995,Casper,282300000,100328194,181971806
535,541,2012,The Bourne Legacy,280355920,113203870,167152050
536,542,1998,Shakespeare in Love,279500000,100317794,179182206
537,543,2017,Split,278754594,138141585,140613009
538,544,2010,The Tourist,278731369,67631157,211100212
539,545,2001,Bridget Jones's Diary,277902373,71500556,206401817
540,546,2000,Scary Movie,277200000,157019771,120180229
541,547,2016,Alice Through the Looking Glass,276928112,77042381,199885731
542,548,1987,Beverly Hills Cop II,276665036,153665036,123000000
543,549,2002,Scooby-Doo,276294164,153294164,123000000
544,550,2014,Divergent,276014965,150947895,125067070
545,551,1991,The Silence of the Lambs,275726716,130726716,145000000
546,552,2008,Gran Torino,274543085,148095302,126447783
547,553,2008,High School Musical 3: Senior Year,274392880,90559416,183833464
548,554,2013,Cloudy with a Chance of Meatballs 2,274392649,119793567,154599082
549,555,1996,The Nutty Professor,273814019,128814019,145000000
550,556,1996,Jerry Maguire,273552592,153952592,119600000
551,557,2018,Tomb Raider,273477501,58250803,215226698
552,558,2012,Lincoln,273346281,182207973,91138308
553,559,2001,Lara Croft: Tomb Raider,273330185,131144183,142186002
554,560,2003,Bad Boys II,273271982,138540870,134731112
555,561,2010,Grown Ups,272223000,162001186,110221814
556,562,2009,The Princess and the Frog,270997378,104400899,166596479
557,563,2014,Neighbors,270944428,150086800,120857628
558,564,1993,The Firm,270340892,158340892,112000000
559,565,2014,Mr. Peabody & Sherman,269806430,111506430,158300000
560,566,2008,"10,000 B.C.",269065678,94784201,174281477
561,567,2021,A Quiet Place: Part II,268625879,159578799,109047080
562,568,1972,The Godfather,268500000,134966411,133533589
563,569,2014,Exodus: Gods and Kings,268314513,65014513,203300000
564,570,2010,The Expendables,268268174,103068524,165199650
565,571,1942,Bambi,268000000,102797000,165203000
566,572,2007,American Gangster,267985456,130164645,137820811
567,573,2013,Weâre the Millers,267816276,150394119,117422157
568,574,2002,xXx,267200000,141930000,125270000
569,575,1992,Batman Returns,266824291,162833635,103990656
570,576,2003,Something's Gotta Give,266685242,124685242,142000000
571,577,1993,Indecent Proposal,266600000,106614059,159985941
572,578,2018,Maze Runner: The Death Cure,265878536,58032443,207846093
573,579,2008,The Incredible Hulk,265573859,134806913,130766946
574,580,1995,Waterworld,264246220,88246220,176000000
575,581,1998,The Truman Show,264118201,125618201,138500000
576,582,1997,The Fifth Element,263898761,63570862,200327899
577,583,2004,Bridget Jones: The Edge Of Reason,263894551,40203020,223691531
578,584,2011,Real Steel,263880341,85463309,178417032
579,585,1950,Cinderella,263591415,85000000,178591415
580,586,2017,Baahubali 2: The Conclusion,263502914,18985794,244517120
581,587,2013,Epic,262794441,107518682,155275759
582,588,1995,Jumanji,262758310,100458310,162300000
583,589,2006,Borat,261443242,128505958,132937284
584,590,1990,Total Recall,261400000,119394839,142005161
585,591,1997,The Full Monty,261249383,45950122,215299261
586,592,2005,Robots,260636271,128200012,132436259
587,593,2013,The Lone Ranger,260002115,89302115,170700000
588,594,2000,Charlie's Angels,259736090,125305545,134430545
589,595,2017,Blade Runner 2049,259238971,92054159,167184812
590,596,2010,Knight and Day,258751370,76423035,182328335
591,597,1985,Out of Africa,258210860,79096868,179113992
592,598,2011,Super 8,257972745,127004179,130968566
593,599,2013,American Hustle,257858943,150098456,107760487
594,600,2000,Erin Brockovich,257805243,125548685,132256558
